team,latitude,longitude
HOU,29.68723,-95.410835
SEA,47.5952,-122.3316
BUF,42.774,-78.787
PIT,40.446667,-80.01583
ARI,33.528,-112.263
LA,33.953,-118.339
MIA,25.958055,-80.23889
BAL,39.278057,-76.62278
CLE,41.50611,-81.69945
DEN,39.74389,-105.02
DET,42.34,-83.045555
SF,37.403,-121.97
LV,36.090557,-115.18389
KC,39.04889,-94.48389
NE,42.091,-71.264
NO,29.950832,-90.08111
TEN,36.16639,-86.771385
LAC,33.953,-118.339
CIN,39.095,-84.516
NYG,40.8,-74.066666
JAX,30.323889,-81.6375
TB,27.975834,-82.503334
ATL,33.755554,-84.4
MIN,44.974,-93.258
DAL,32.747776,-97.09278
CAR,35.225834,-80.852776
GB,44.50139,-88.062225
CHI,41.8623,-87.6167
NYJ,40.8,-74.066666
PHI,39.9007,-75.1675
IND,39.75,-86.15
